Address,C.Ostan,Tedad.a,Gender,Age,Savad,InEdu,Madrak,Faaliat,T.shaghel,n.t.s,T.O,S.Z,N.S,Masleh,oto,motor,do,radio,zabt,TV.S,TV.r,DVD,Pc,mobile,freeizer,yakhchal,yakhchal.f,gaz,jaro.b,m.lebas,charkh.kh,panke,cooler.a,cooler.g,m.zarf,microfer,ab.l,bargh,gaz.l,tel,internet,hamam,ashpazkhane,cooler.a.s,broodat.m,hararat.m,package,cooler.g.s,fazelab,sookht.p,sookht.g,sookht.ab,H_Khorakivadokhani,H_Noshidani,H_Pushak,H_Maskan,H_mobleman,H_behdasht,H_Hamlonaghl,H_Ertebatat,H_Tafrihat,H_Ghazayeamade,H_kalavakhadamat,D_Mozd,D_Azad,D_Motefaraghe,D_Yarane
10001000108,0,5,1,79,1,2,6,3,NA,1,4,135,3,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,4,14,24,13424000,630000,2250000,9012000,2577000,NA,420000,520000,NA,700000,2040000,NA,NA,392000000,27300000
10001000111,0,3,1,36,1,2,4,1,1,3,4,120,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,NA,1,1,1,NA,NA,NA,NA,1,1,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,4,14,24,18007000,NA,660000,21231000,4245000,NA,1600000,470000,1050000,NA,1630000,564000000,NA,NA,16380000
10001000114,0,1,2,49,1,2,4,3,NA,1,3,100,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,1,NA,NA,NA,NA,NA,4,14,24,5778000,NA,NA,8264000,1975000,NA,280000,220000,NA,NA,225000,NA,NA,144000000,5460000
10001000117,0,4,1,54,1,2,4,3,NA,1,4,100,3,1,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,4,14,24,11591000,NA,350000,9027000,5410000,NA,2300000,350000,NA,NA,1690000,NA,NA,444000000,21840000
10001000120,0,4,1,78,1,2,1,3,NA,1,4,105,3,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,1,NA,NA,NA,NA,NA,4,14,24,10877000,NA,3260000,8030000,3410000,420000,350000,290000,200000,NA,650000,NA,NA,333000000,10920000
10001000123,0,4,1,50,1,2,6,1,1,1,4,100,3,1,1,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,1,1,1,1,NA,NA,NA,NA,1,1,NA,1,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,4,14,24,19027000,NA,3850000,9640000,4167000,NA,2300000,560000,NA,NA,5055000,443680000,NA,NA,21840000
10001000209,0,3,1,63,1,2,1,3,NA,1,4,100,3,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,4,14,24,8787500,NA,NA,8139000,905000,700000,250000,600000,NA,500000,760000,NA,NA,342500000,16380000
10001000211,0,3,1,65,1,2,4,1,2,1,4,120,3,1,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,1,NA,NA,NA,NA,NA,4,14,24,9957500,NA,NA,7980000,470000,380000,1480000,975000,100000,200000,1980000,180000000,460000000,NA,NA
10001000214,0,5,1,36,1,2,4,1,1,1,4,110,3,1,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,4,14,24,12475000,NA,NA,7092000,750000,580000,1470000,620000,210000,480000,1920000,514800000,NA,NA,27300000
10001000217,0,1,2,74,1,2,1,3,NA,1,3,100,3,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,1,NA,NA,NA,NA,NA,4,14,24,4386500,NA,430000,5671000,235000,610000,200000,150000,NA,NA,265000,NA,NA,220000000,5460000
10001000220,0,3,1,51,1,2,4,1,1,1,3,110,3,1,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,1,NA,NA,NA,NA,NA,4,14,24,13737000,NA,250000,7410000,1470000,910000,1420000,535000,760000,250000,510000,445880008,NA,NA,NA
10001000223,0,2,1,25,1,2,6,1,1,1,4,110,3,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,1,NA,NA,NA,NA,NA,4,14,24,5682000,NA,1250000,6296000,470000,NA,1700000,360000,230000,420000,810000,223920000,NA,NA,NA
10001000308,0,1,2,63,2,NA,NA,5,NA,1,4,120,3,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,4,14,24,7028000,NA,750000,8547000,1292000,250000,300000,195000,NA,NA,385000,NA,NA,249000000,5460000
10001000309,0,3,1,33,1,2,7,1,1,6,4,150,3,1,1,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,1,1,1,1,1,1,NA,NA,NA,1,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,4,14,24,15695000,NA,6040000,9222000,2255000,190000,1700000,365000,540000,500000,1515000,340200000,NA,NA,16380000
10001000314,0,2,1,32,1,2,6,1,1,6,4,100,3,1,1,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,1,1,1,1,1,NA,NA,NA,NA,1,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,4,14,24,10350000,NA,1450000,7707000,1490000,8100000,1700000,512000,220000,900000,3295000,391440000,NA,NA,10920000
10001000317,0,3,1,64,1,2,1,3,NA,3,4,100,3,1,1,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,1,NA,NA,NA,NA,NA,4,14,24,8842000,NA,2380000,17698000,2170000,1130000,1800000,414000,650000,NA,1330000,NA,NA,271000000,16380000
10001000320,0,3,1,72,1,2,1,3,1,1,4,120,3,1,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,1,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,1,NA,NA,NA,NA,NA,4,14,24,12037000,200000,1710000,9723000,6540000,NA,530000,355000,NA,300000,980000,120000000,NA,370000000,16380000
10001000323,0,3,1,78,1,2,1,3,NA,1,4,100,3,1,1,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,1,1,NA,NA,NA,NA,NA,4,14,24,13102000,NA,2160000,8569000,2117000,150000,1900000,370000,350000,NA,2130000,NA,NA,285000000,16380000
10001000407,0,2,2,36,1,2,4,1,1,1,3,90,3,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,4,14,24,5154000,NA,2800000,7620000,545000,NA,140000,500000,440000,280000,570000,NA,115000000,35000000,10920000
